cust_id,p_value
110000,0.07035678625106812
110001,0.07199255377054214
110002,0.09156177192926407
110003,0.10529641807079315
110004,0.07109030336141586
110005,0.07165499031543732
110006,0.2074139565229416
110007,0.08000694960355759
110008,0.08648902177810669
110009,0.07144288718700409
110010,0.07186578214168549
110011,0.08952747285366058
110012,0.09213368594646454
110013,0.07114191353321075
110014,0.08026671409606934
110015,0.1750171035528183
110016,0.08048238605260849
110017,0.08824332058429718
110018,0.07231659442186356
110019,0.10547356307506561
110020,0.0749407410621643
110021,0.07049791514873505
110022,0.0707181915640831
110023,0.08225276321172714
110024,0.08066116273403168
110025,0.10328397899866104
110026,0.08694310486316681
110027,0.086476169526577
110028,0.08861932903528214
110029,0.08201773464679718
110030,0.102019764482975
110031,0.07067015767097473
110032,0.08992983400821686
110033,0.07205602526664734
110034,0.07322566956281662
110035,0.07144512236118317
110036,0.12161540985107422
110037,0.07623569667339325
110038,0.07877270877361298
110039,0.07207925617694855
110040,0.08058972656726837
110041,0.09268882125616074
110042,0.07193590700626373
110043,0.07249116897583008
110044,0.08080039173364639
110045,0.07231731712818146
110046,0.09969224780797958
110047,0.07062681764364243
110048,0.07470367848873138
110049,0.07195910066366196
110050,0.09888302534818649
110051,0.07355746626853943
110052,0.08104030042886734
110053,0.13630516827106476
110054,0.11990465223789215
110055,0.07083073258399963
110056,0.07332984358072281
110057,0.07141143083572388
110058,0.07064928114414215
110059,0.07315390557050705
110060,0.17692413926124573
110061,0.1027311459183693
110062,0.1014731153845787
110063,0.07206717878580093
110064,0.10373379290103912
110065,0.07070247828960419
110066,0.07508762180805206
110067,0.07109137624502182
110068,0.08317731320858002
110069,0.07259275019168854
110070,0.1221306100487709
110071,0.09898833185434341
110072,0.08752123266458511
110073,0.07179727405309677
110074,0.08206294476985931
110075,0.07380779087543488
110076,0.11305360496044159
110077,0.07897346466779709
110078,0.08209314197301865
110079,0.07117553800344467
110080,0.07123256474733353
110081,0.07301432639360428
110082,0.12704193592071533
110083,0.07348979264497757
110084,0.07101128995418549
110085,0.0943322628736496
110086,0.10503724962472916
110087,0.07109508663415909
110088,0.07119835913181305
110089,0.07383684813976288
110090,0.07047275453805923
110091,0.13079199194908142
110092,0.09845079481601715
110093,0.07262440770864487
110094,0.07365830987691879
110095,0.07017146050930023
110096,0.07237541675567627
110097,0.0759836807847023
110098,0.08635592460632324
110099,0.07127340137958527
110100,0.07168430089950562
110101,0.07413379848003387
110102,0.07287384569644928
110103,0.09530949592590332
110104,0.07107674330472946
110105,0.09560878574848175
110106,0.0722583681344986
110107,0.08309610188007355
110108,0.07235212624073029
110109,0.07659393548965454
110110,0.07306575775146484
110111,0.07026837021112442
110112,0.07756990194320679
110113,0.07667144387960434
110114,0.07638519257307053
110115,0.07115689665079117
110116,0.12122537940740585
110117,0.07672146707773209
110118,0.08621945232152939
110119,0.06999345868825912
110120,0.07027039676904678
110121,0.08782215416431427
110122,0.07078742980957031
110123,0.12411192804574966
110124,0.11415831744670868
110125,0.07204411923885345
110126,0.07036861032247543
110127,0.07720167934894562
110128,0.09952988475561142
110129,0.07119044661521912
110130,0.0706312507390976
110131,0.07056021690368652
110132,0.07624974846839905
110133,0.14324994385242462
110134,0.07416622340679169
110135,0.27908819913864136
110136,0.1063384860754013
110137,0.07341305911540985
110138,0.07069901376962662
110139,0.08108456432819366
110140,0.10757569968700409
110141,0.07340914756059647
110142,0.07096974551677704
110143,0.0703575387597084
110144,0.08900631964206696
110145,0.07598532736301422
110146,0.07192256301641464
110147,0.06999310851097107
110148,0.07254530489444733
110149,0.07004322111606598
110150,0.07490302622318268
110151,0.08215723931789398
110152,0.0787648856639862
110153,0.08956549316644669
110154,0.07025143504142761
110155,0.06974302232265472
110156,0.08076326549053192
110157,0.07195441424846649
110158,0.07539577782154083
110159,0.07237694412469864
110160,0.07023904472589493
110161,0.08574222028255463
110162,0.07229644060134888
110163,0.10250554233789444
110164,0.09993572533130646
110165,0.09622947871685028
110166,0.09145722538232803
110167,0.07154972851276398
110168,0.11112149059772491
110169,0.07202265411615372
110170,0.08338435739278793
110171,0.10733135789632797
110172,0.06992815434932709
110173,0.07090380042791367
110174,0.08793027698993683
110175,0.08809401094913483
110176,0.09014299511909485
110177,0.1073666587471962
110178,0.11838588863611221
110179,0.07373187690973282
110180,0.07365777343511581
110181,0.07079707086086273
110182,0.07658018916845322
110183,0.07087226212024689
110184,0.06963066011667252
110185,0.07839438319206238
